id,pet_id,reminder_protocol_usage_itemable_type,reminder_protocol_name,name,administration_date,due_date
2515545,1052791,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.2023),2022-12-14,
1157336,1053446,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A217B01/04.2024).,2022-10-14,
2507527,1053541,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129044A01/06.24) + Nobivac RL ( A300A01/06.24),2022-11-30,
7205693,1053587,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2024-06-21,
1116982,1053603,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129031B01/04.24) + Nobivac RL ( A217B03/04.24),2022-11-02,
1139734,1054023,HistoricalTreatment,Vaccinuri,Nobivac DHPPI ( 0129031B1/04.24) + Nobivac RL ( A217B03/04.24),2022-10-28,
5531598,1054023,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2023-07-10,
1298514,1054097,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A217B01/04.2024).,2022-06-08,
4440740,1065391,HistoricalTreatment,Medicație deparazitare externă,Prinocate,2023-11-18,
1109576,1065791,HistoricalTreatment,Vaccinuri,Nobivac DHPPI ( 0129031B01/01.2024) + Nobivac RL ( A217B03/04.2024),2022-11-05,
913354,1065898,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129047B01/06.24) + Nobivac RL ( A300A02/06.24),2023-03-18,
3851802,1065898,HistoricalTreatment,Medicație deparazitare internă,Drontal Plus Flavour,2023-06-15,
3851802,1065898,HistoricalTreatment,Medicație deparazitare internă,Drontal Plus Flavour,2023-06-15,
1071791,1066387,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129044A01/06.24) + Nobivac RL ( A300A02/06.24),2023-01-07,
1071793,1066394,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129044A01/06.24) + Nobivac RL ( A300A02/06.24),2023-01-07,
116726,1066910,HistoricalTreatment,Medicație deparazitare externă,Simparica Trio,2024-02-09,
199457,1066910,HistoricalTreatment,Medicație deparazitare externă,Bravecto,2023-11-15,
1099588,1066910,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.20230,2022-11-21,
9257250,1067401,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2024-11-12,
2508373,1068146,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129044A01/06.24) + Nobivac RL ( A300A01/06.24),2022-12-06,
2508377,1068146,HistoricalTreatment,Medicație deparazitare externă,Bravecto,2022-12-06,
4442416,1068146,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2023-12-05,
9212172,1068146,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2024-11-07,
1071390,1073502,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129044A01/06.24) + Nobivac RL ( A300A02/06.24),2023-01-13,
1215691,1083460,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A674E01/02.2024) + RL (A215B01/11.2023).,2022-08-10,
1103217,1083485,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129024B01/03.24) + Nobivac RL ( A215B01/11.23),2022-11-19,
1103239,1084356,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129031B01/04.24) + Nobivac RL ( A217B03/04.24),2022-11-18,
1109232,1100018,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129031B01/04.24) + Nobivac RL ( A217B03/04.24),2022-11-08,
2520269,1101268,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.2023),2022-11-26,
2209541,1102205,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129047B01/06.24) + Nobivac RL ( A300A02/06.24),2023-02-02,
2509709,1107492,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.2023),2022-12-08,
2519651,1107509,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129040A01/05.24) + Nobivac RL ( A300A01/06.24),2022-12-16,
2508328,1107581,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.2023),2022-12-06,
2509526,1107597,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.2023),2022-12-08,
1071680,1116833,HistoricalTreatment,Vaccinuri,Nobivac Tricat Trio ( A424E01/02.25) + Nobivac Rabies ( A579A01/01.25),2023-01-09,
2519813,1131759,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.2023),2022-12-16,
4442438,1131759,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2023-12-05,
2508510,1131774,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.2023),2022-12-08,
4442425,1131774,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2023-12-05,
9268264,1141736,HistoricalTreatment,Vaccinuri,Nobivac Tricat Trio (A463D01/03.27) + Rabisin ( F93364/12.04.26),2024-12-12,
2522127,1142000,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129040A01/05.24) + Nobivac RL ( A300A01/06.24),2022-12-19,
2510050,1142752,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.2023),2022-12-12,
2510041,1142759,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.2023),2022-12-12,
2522067,1143345,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.2023),2022-12-19,
2525531,1144176,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.2023),2022-12-22,
952011,1144475,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129044A01/06.24) + Nobivac RL ( A300A02/06.24),2023-02-22,
952011,1144475,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129044A01/06.24) + Nobivac RL ( A300A02/06.24),2023-02-22,
2525658,1144481,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129044A01/06.24) + Nobivac RL ( A300A01/06.24),2022-12-27,
198386,1144749,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129108A01/03.25) + Nobivac Lepto (A713A01/11.24),2024-01-08,
1160098,1144754,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A217B02/04.2024).,2022-10-10,
4442421,1144754,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2023-12-05,
2515424,1144755,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.2023),2022-12-13,
5634654,1145524,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A705D01/12.24) + Nobivac Lepto (A715A01/01.25),2023-10-01,
5634655,1145524,HistoricalTreatment,Vaccin Antirabic,Rabisin ( E73492/19.11.24),2023-10-01,
1166515,1149737,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129005A01/01.2024) + RL (A217B03/04.2024),2022-10-01,
7330170,1149737,HistoricalTreatment,Medicație deparazitare externă,Simparica Trio,2024-07-04,
1063401,1241671,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129044A01/06.24) + Nobivac RL ( A300A02/06.24),2023-01-16,
1063412,1250710,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129044A01/06.24) + Nobivac RL ( A300A02/06.24),2023-01-16,
2927152,1252927,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129047B01/06.24) + Nobivac RL ( A300A02/06.24),2023-02-02,
2928421,1259462,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129047B01/06.24) + Nobivac RL ( A300A02/06.24),2023-02-08,
2209538,1262277,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129047B01/06.24) + Nobivac RL ( A300A02/06.24),2023-02-02,
3215316,1270366,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.2023),2023-05-04,
950224,1271545,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129047B01/06.24) + Nobivac RL ( A300A02/06.24),2023-02-23,
950224,1271545,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129047B01/06.24) + Nobivac RL ( A300A02/06.24),2023-02-23,
3453227,1271553,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2023-05-11,
2688332,1274238,HistoricalTreatment,Altele,Nobivac DHPPI (A644E01/04.2023) + Lepto (A283A01/03.2023).,2022-03-01,
925995,1274295,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2023-03-04,
925997,1274295,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129047B01/06.24) + Nobivac RL ( A300A02/06.24),2023-03-03,
5609254,1274295,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2023-07-17,
950141,1274368,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129047B01/06.24) + Nobivac RL ( A300A02/06.24),2023-02-27,
1139705,1286629,HistoricalTreatment,Vaccinuri,Nobivac DHPPI ( 0129031B01/01.2024) + Nobivac RL ( A217B03/04.2024),2022-10-31,
1071314,1309266,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.2023),2023-01-13,
5409502,1309287,HistoricalTreatment,Vaccinuri,Nobivac DHPPI ( 0129044A01/06.24) + Nobivac Lepto ( A707A01/11.23),2022-12-29,
7529004,1336777,HistoricalTreatment,Vaccinuri,Nobivac Tricat Trio (A440B01/02.2026) + Rabisin (E99439/03.11.2025),2024-07-24,
7529008,1336777,HistoricalTreatment,Medicație deparazitare externă,Stronghold Plus,2024-07-26,
7529013,1336790,HistoricalTreatment,Vaccinuri,Nobivac Tricat Trio (A440B01/02.2026) + Rabisin (E99439/03.11.2025),2024-07-24,
7529015,1336790,HistoricalTreatment,Medicație deparazitare externă,Nexgard Combo,2024-07-26,
2688196,1336808,HistoricalTreatment,Altele,Nobivac DHP ( A144B01/04.2023) + Nobivac Lepto ( A458A01/02.2023).,2022-02-26,
944338,1338316,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.2023),2023-02-28,
2688337,1338316,HistoricalTreatment,Altele,Nobivac DHPPI (A644E01/04.2023) + RL (A205B02/08.2022).,2022-03-01,
2688387,1339503,HistoricalTreatment,Altele,Nobivac DHP ( A144B01/04.2023) + Nobivac Lepto ( A458A01/02.2023).,2022-03-03,
2688661,1343761,HistoricalTreatment,Medicație deparazitare internă,Milprazon,2022-03-05,
2688668,1343768,HistoricalTreatment,Altele,Nobivac DHP ( A144B01/04.2023) + Nobivac Lepto ( A458A01/02.2023).,2022-03-08,
1379966,1343815,HistoricalTreatment,Vaccin Antirabic,Rabisin,2022-03-09,
922156,1343824,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129044A01/06.24) + Nobivac RL ( A300A02/06.24),2023-03-17,
922152,1343832,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129044A01/06.24) + Nobivac RL ( A300A02/06.24),2023-03-17,
2688671,1343865,HistoricalTreatment,Altele,Nobivac Parvo-C (A120A01/11.2023),2022-03-10,
2688677,1343865,HistoricalTreatment,Altele,Nobivac DHP ( A144B01/04.2023) + Nobivac Lepto ( A458A01/02.2023).,2022-03-24,
2688677,1343865,HistoricalTreatment,Altele,Nobivac DHP ( A144B01/04.2023) + Nobivac Lepto ( A458A01/02.2023).,2022-03-24,
2093960,1343885,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A670C01/11.2023) + RL (A215B01/11.2023).,2022-03-24,
2093960,1343885,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A670C01/11.2023) + RL (A215B01/11.2023).,2022-03-24,
2688683,1343900,HistoricalTreatment,Altele,Nobivac Parvo-C (A120A01/11.2023),2022-03-10,
925516,1344077,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.2023),2023-03-10,
2713282,1344077,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2023-03-11,
913383,1344099,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.2023),2023-03-18,
2516604,1344107,HistoricalTreatment,Medicație deparazitare externă,Bravecto,2022-12-15,
2516609,1344107,HistoricalTreatment,Medicație deparazitare internă,Drontal Plus Flavour,2022-12-15,
922108,1346696,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (0129047B01/06.24) + Nobivac RL ( A300A02/06.24),2023-03-17,
2948635,1346696,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2023-08-02,
913373,1346742,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (E36118/02.09.2023),2023-03-18,
7513618,1346810,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2024-07-20,
2093775,1369080,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A663C01/10.2023) + RL (A215B01/11.2023).,2022-03-08,
2093775,1369080,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A663C01/10.2023) + RL (A215B01/11.2023).,2022-03-08,
2689248,1369090,HistoricalTreatment,Vaccinuri,Nobivac Parvo-C (A120A01/11.2023),2022-03-23,
2689252,1369097,HistoricalTreatment,Vaccinuri,Nobivac Parvo-C (A120A01/11.2023),2022-03-23,
2689257,1369172,HistoricalTreatment,Medicație deparazitare externă,Bravecto + Drontal,2022-03-23,
2093942,1369226,HistoricalTreatment,Vaccinuri,Nobivac Tricat Trio ( A412B01/04.2024) + Nobivac Rabies ( A554B01/09.2024).,2022-03-24,
3001713,1369226,HistoricalTreatment,Vaccinuri,Nobivac Tricat trio (A424A01/02.25)+ Nobivac Rabies ( A572B01/12.24),2023-03-23,
2689262,1369351,HistoricalTreatment,Vaccinuri,Nobivac Tricat Trio (A412B01/04.2024) + Rabisin ( L488696/04.12.2023)),2022-03-24,
2689267,1369359,HistoricalTreatment,Vaccinuri,Nobivac Tricat Trio ( A412B01/04.2024),2022-03-24,
2094098,1369366,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A663C01/10.2023) + RL (A215B01/11.2023).,2022-03-24,
2689272,1369375,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + Lepto (A283A01/03.2023).,2022-03-25,
2094124,1369380,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A663C01/10.2023) + RL (A215B01/11.2023).,2022-03-25,
925410,1369381,HistoricalTreatment,Medicație deparazitare internă,Milprazon,2023-03-17,
925412,1369381,HistoricalTreatment,Medicație deparazitare externă,Bravecto,2023-03-16,
2094128,1369381,HistoricalTreatment,Medicație deparazitare externă,Bravecto + Drontal,2022-03-26,
4204233,1369381,HistoricalTreatment,Medicație deparazitare internă,Drontal Plus Flavour,2023-10-18,
4204238,1369381,HistoricalTreatment,Medicație deparazitare externă,Bravecto,2023-10-18,
2689277,1369400,HistoricalTreatment,Vaccinuri,Nobivac DHP ( A144B01/04.2023) + Nobivac Lepto ( A458A01/02.2023).,2022-03-28,
2689281,1369405,HistoricalTreatment,Vaccinuri,Nobivac Parvo-C (A121A01/01.2024),2022-03-29,
3421404,1369405,HistoricalTreatment,Medicație deparazitare externă,Bravecto,2022-05-16,
2095042,1370031,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A670C01/11.2023) + RL (A215B01/11.2023).,2022-04-04,
2095062,1370038,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A670C01/11.2023) + RL (A215B01/11.2023).,2022-04-04,
2689358,1370043,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A670C01/11.2023) + RL (A215B01/11.2023).,2022-04-05,
2120927,1500385,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A205B02/08.2022).,2022-04-06,
2158839,1650110,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A663C01/10.2023) + RL (A215B01/11.2023).,2022-04-11,
2158845,1650131,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A205B02/08.2022).,2022-04-26,
2160116,1652213,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A205B02/08.2022).,2022-04-12,
3421251,1652216,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + Lepto (A283A01/03.2023).,2022-04-12,
3421256,1652221,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A205B02/08.2022).,2022-04-13,
2160125,1652228,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A205B02/08.2022).,2022-04-15,
3461005,1652228,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2023-05-15,
2160953,1653427,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR ( L491822/24.03.2023).,2022-04-16,
2160971,1653451,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A205B02/08.2022).,2022-04-18,
3421310,1653465,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR ( L491822/24.03.2023).,2022-04-19,
2160982,1653472,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A205B02/08.2022).,2022-04-19,
2160987,1653479,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR ( L491822/24.03.2023).,2022-04-21,
7382068,1653479,HistoricalTreatment,Medicație deparazitare externă,Simparica Trio,2024-07-06,
2160991,1653491,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A205B02/08.2022).,2022-04-21,
3421315,1653491,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A205B02/08.2022).,2022-06-02,
3421320,1653503,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + Lepto (A283A01/03.2023).,2022-04-23,
3421324,1653509,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + Lepto (A283A01/03.2023).,2022-04-23,
3421328,1653513,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + Lepto (A283A01/03.2023).,2022-04-23,
2161011,1653523,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR ( L491822/24.03.2023).,2022-04-29,
2161020,1653529,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A663C01/10.2023) + RL (A215B01/11.2023).,2022-05-28,
3421332,1653529,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + Lepto (A283A01/03.2023).,2022-04-29,
3421337,1653529,HistoricalTreatment,Medicație deparazitare externă,simparica,2022-04-30,
3421342,1653540,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + Lepto (A283A01/03.2023).,2022-04-29,
2165094,1653547,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A217B01/04.2024).,2022-06-16,
3421346,1653547,HistoricalTreatment,Vaccinuri,Nobivac Parvo-C (A120A01/11.2023),2022-04-29,
3421353,1653547,HistoricalTreatment,Medicație deparazitare externă,Prinocate,2022-04-29,
3421358,1653547,HistoricalTreatment,Vaccinuri,Nobivac DHP ( A144B01/04.2023) + Nobivac Lepto ( A458A01/02.2023).,2022-05-13,
3421362,1653547,HistoricalTreatment,Medicație deparazitare internă,Drontal Plus Flavour,2022-05-13,
3421366,1653547,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + Lepto (A283A01/03.2023).,2022-05-30,
3421371,1653547,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2022-05-31,
2161056,1653618,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A663C01/10.2023) + RL (A215B01/11.2023).,2022-05-02,
3421393,1653642,HistoricalTreatment,Vaccinuri,Nobivac Parvo-C (A121A01/01.2024),2022-05-04,
3421397,1653642,HistoricalTreatment,Vaccinuri,Nobivac DHP ( A144B01/04.2023) + Nobivac Lepto ( A458A01/02.2023).,2022-05-17,
3421401,1653642,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + Lepto (A283A01/03.2023).,2022-06-03,
2161111,1653678,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A670C01/11.2023) + RL (A215B01/11.2023).,2022-05-16,
2161123,1653694,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A663C01/10.2023) + RL (A215B01/11.2023).,2022-05-17,
8798141,1680127,HistoricalTreatment,Vaccinuri,Eurican DAPPI + LR (F15391/09.11.2024),2024-09-14,
1340257,1680154,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A217B01/04.2024).,2022-05-18,
1329585,1704156,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A217B01/04.2024).,2022-07-04,
1329585,1704156,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A217B01/04.2024).,2022-07-04,
3428574,1704156,HistoricalTreatment,Vaccinuri,Nobivac Parvo-C (A121A01/01.2024),2022-05-19,
3428578,1704156,HistoricalTreatment,Vaccinuri,Nobivac DHP ( A144B01/04.2023) + Nobivac Lepto ( A458A01/02.2023).,2022-06-04,
3428583,1704156,HistoricalTreatment,Medicație deparazitare externă,simparica,2022-06-04,
3428587,1704156,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + Lepto (A283A01/03.2023).,2022-06-18,
3428592,1704226,HistoricalTreatment,Vaccinuri,Nobivac Parvo-C (A121A01/01.2024),2022-05-19,
3428597,1704226,HistoricalTreatment,Vaccinuri,Nobivac DHP ( A144B01/04.2023) + Nobivac Lepto ( A458A01/02.2023).,2022-06-16,
4230955,1704226,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A674E01/02.2024) + Lepto (A283A01/03.2023).,2022-07-15,
3428601,1704259,HistoricalTreatment,Vaccinuri,Nobivac DHP ( A144B01/04.2023) + Nobivac Lepto ( A458A01/02.2023).,2022-05-21,
3465186,1704437,HistoricalTreatment,Vaccinuri,Nobivac KC ( A114A01/05.2022),2022-05-21,
3466095,1704549,HistoricalTreatment,Medicație deparazitare internă,Drontal Plus Flavour,2022-05-24,
3466099,1704768,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + Lepto (A283A01/03.2023).,2022-05-24,
3476466,1706005,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A217B01/04.2024).,2022-05-25,
3476471,1706013,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A217B01/04.2024).,2022-05-25,
3476475,1706017,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A217B01/04.2024).,2022-05-25,
3476478,1706019,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A217B01/04.2024).,2022-05-25,
3476482,1706023,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A217B01/04.2024).,2022-05-25,
3476486,1706029,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A217B01/04.2024).,2022-05-25,
3476490,1706040,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A217B01/04.2024).,2022-05-25,
3476495,1706060,HistoricalTreatment,Vaccin Antirabic,Rabisin,2022-05-05,
1309040,1706069,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A663C01/10.2023) + RL (A215B01/11.2023).,2022-05-07,
3476500,1706087,HistoricalTreatment,Vaccinuri,Nobivac Parvo-C (A120A01/11.2023),2022-05-10,
1267621,1706093,HistoricalTreatment,Medicație deparazitare externă,Bravecto,2022-08-26,
1308990,1706093,HistoricalTreatment,Medicație deparazitare externă,Bravecto,2022-05-11,
1308966,1706095,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A205B02/08.2022).,2022-05-10,
3541412,1706095,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2023-05-27,
1307390,1706713,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A205B02/08.2022).,2022-05-12,
3476533,1706718,HistoricalTreatment,Vaccinuri,Nobivac DHP ( A144B01/04.2023) + Nobivac Lepto ( A458A01/02.2023).,2022-05-12,
3523583,1706718,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + Lepto (A283A01/03.2023).,2022-06-18,
3523587,1706718,HistoricalTreatment,Medicație deparazitare externă,Nexgard Spectra,2022-06-18,
3476537,1706730,HistoricalTreatment,Vaccinuri,Nobivac Parvo-C (A121A01/01.2024),2022-05-14,
3523538,1706730,HistoricalTreatment,Medicație deparazitare internă,Drontal Puppy,2022-06-04,
3523579,1706730,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + Lepto (A283A01/03.2023).,2022-06-20,
1307367,1706738,HistoricalTreatment,Vaccinuri,Nobivac DHPPI (A644E01/04.2023) + RL (A217B01/04.2024).,2022-05-14,
